a,ln,ln/h,s,f'c,Dl,fyl,Dt,fyt,a/d,s/d,nu,rho_l,rho_t,rholfyl/fc,rhotfyt/fc,tau/fc,s/Dl,Vp/Vn,Ag/Ao,DS1,DS2,DS3,DS4,Vy,Vu,DS4/DS2
1219,1219,1.33,406,16,25,434,9,400,1.426966292,0.475655431,0,0.018786568,0.000762969,0.509150551,0.019057939,0.079853748,16.25599999,1.473572604,6.967728,0.001407183,0.002814365,0.0071286,0.009059652,311.42,604.52,3.219074641
1050,1050,3.5,150,36,16,396,6,426,4.038589293,0.576983197,0.027478694,0.026815067,0.001256318,0.291769688,0.014714648,0.029306466,9.374603175,1.100474476,1.499994,0.002484568,0.004969135,0.009885614,0.014934756,88.8,118.79,3.005503995
900,900,3,75,27,19,387,9,355,3.529534814,0.294152804,0.26005719,0.038206167,0.006099095,0.547154144,0.080123333,0.077049907,3.926861702,0.696559201,1.499994,0.002563632,0.005127264,0.02136,0.054284905,158.06,205.89,10.58750029
900,900,3,75,27,19,387,9,355,3.529534814,0.294152804,0.26005719,0.038206167,0.006099095,0.547154144,0.080123333,0.101096846,3.926861702,0.696559201,1.499994,0.005206088,0.010412175,0.01989,0.032143504,170.78,196.59,3.087107482
1200,1200,2.18,80,23,24,375,10,297,2.459016393,0.163934426,0.259797524,0.017946023,0.007139983,0.291082791,0.091721399,0.091161203,3.333333332,0.548115019,5.041666668,0.002581421,0.005162842,0.018815833,,598.74,651.38,
1200,1200,2.18,75,41,24,375,12,316,2.459016393,0.153688525,0.214044864,0.017946023,0.010967014,0.16241576,0.083638101,0.083530448,3.125,0.48351787,5.041666668,0.001433058,0.002866116,0.006869417,,534.61,735.09,
1200,1200,2.18,75,21,24,375,10,297,2.459016393,0.153688525,0.420112683,0.017946023,0.007615982,0.31420619,0.105608192,0.113400942,3.125,0.48157388,5.041666668,0.000885158,0.001770315,0.00566,,344.23,619.62,
1200,1200,2.18,62,23,24,375,12,294,2.459016393,0.12704918,0.600097106,0.017946023,0.01326655,0.28612819,0.165831294,0.129138482,2.583333333,0.287614519,5.041666668,0.001400967,0.002801933,0.0130325,,548.74,696.48,
1600,1600,4,100,24,16,427,12,320,4.500703235,0.281293952,0.380115565,0.015079645,0.011309734,0.272606378,0.153221387,0.097313951,6.249999998,0.242393815,2.666666668,0.001939287,0.003878574,0.01275375,,123.73,185.59,
1600,1600,4,90,25,16,427,10,280,4.450625869,0.250347705,0.210046298,0.015079645,0.008726646,0.257340421,0.097654982,0.071219145,5.624999999,0.335470012,2.666666668,0.002242016,0.004484031,0.012384375,,117.31,163.57,
1600,1600,4,85,46,16,446,7,364,4.301075269,0.228494624,0.100022047,0.015079645,0.004527589,0.144511379,0.03541151,0.026205703,5.312499999,0.465850512,2.666666668,0.002934073,0.005868147,0.0365175,,171.04,192.42,
1000,1000,2,254,33,13,323,9,258,2.224670348,0.565066268,0,0.021237166,0.002003693,0.207061861,0.015628767,0.026795223,19.53846152,0.948822742,4.166666667,0.001943466,0.003886933,0.0108,0.02380001,244.3,350.51,6.123082165
1600,1600,4,78,44,16,446,8,360,4.312668464,0.210242588,0.300066141,0.015079645,0.004527589,0.152722253,0.03701228,0.038946415,4.874999999,0.440230871,2.666666668,0.00184517,0.00369034,0.010535,0.024889059,193.66,270.03,6.744380453
1600,1600,4,91,44,16,446,7,364,4.301075269,0.244623656,0.300066141,0.015079645,0.006444293,0.152722253,0.053266359,0.033281916,5.687499998,0.55378347,2.666666668,0.001559532,0.003119064,0.009363125,0.024476984,176.16,256.47,7.847542316
1600,1600,4,94,40,16,446,6,255,4.289544236,0.252010724,0.300066141,0.015079645,0.003007908,0.167994478,0.019159041,0.029776291,5.874999999,0.731304451,2.666666668,0.002026771,0.004053542,0.01096,0.023113542,191.3,245.96,5.702060833
1600,1600,4,117,28,16,440,10,466,4.33604336,0.317073171,0.223105714,0.015079645,0.006712805,0.234253658,0.110441561,0.057955529,7.312499999,0.29670194,2.666666668,0.002395493,0.004790985,0.0139525,0.055103462,135.48,206.34,11.501489
1600,1600,4,92,40,16,440,10,466,4.335903084,0.249311674,0.390050406,0.015083475,0.008537031,0.165363149,0.099123682,0.067367598,5.749206349,0.28632041,2.666656,0.002739948,0.005479896,0.023428172,,234.17,263.44,
1600,1600,4,81,41,16,474,8,372,4.312668464,0.218328841,0.500110234,0.015079645,0.006205615,0.174186553,0.056256529,0.048261479,5.062499999,0.374486471,2.666666668,0.00215011,0.004300221,0.007979375,0.023694206,202.76,271.26,5.509997563
1600,1600,4,96,40,16,474,6,388,4.289544236,0.257372654,0.500110234,0.015079645,0.002945243,0.178541217,0.028544464,0.043885689,5.999999998,0.523080905,2.666666668,0.001904736,0.003809472,0.00770875,0.016525295,215.92,270.58,4.337949394
1600,1600,4,96,42,16,474,12,308,4.359673025,0.261580381,0.700154328,0.015079645,0.011780972,0.170039254,0.086320028,0.077912229,5.999999998,0.198760035,2.666666668,0.00092293,0.001845861,0.005620562,,137.3,238.47,
1600,1600,4,77,39,16,474,8,372,4.312668464,0.20754717,0.700154328,0.015079645,0.006527985,0.183119197,0.062213768,0.06878008,4.812499999,0.249265488,2.666666668,0.001579563,0.003159127,0.007881875,0.009922325,189.55,257.06,3.140844146
1600,1600,4,52,40,16,474,12,308,4.359673025,0.141689373,0.700154328,0.015079645,0.021749488,0.178541217,0.167328064,0.094585213,3.249999998,0.127377596,2.666666668,0.002511828,0.005023656,0.016430625,0.02522939,230.91,272.15,5.022117153
1000,1000,2,254,32,13,323,9,258,2.224670348,0.565066268,0,0.021237166,0.002003693,0.216070227,0.016308707,0.031764796,19.53846152,0.960293001,4.166666667,0.001826364,0.003652727,0.00738,0.016600581,202.06,408.24,4.544708474
1600,1600,4,80,26,20,474,12,333,4.733727811,0.236686391,0.199995255,0.015707963,0.010602875,0.290594419,0.137802448,0.074669562,3.999999999,0.262559622,2.666666668,0.002505648,0.005011296,0.013259375,0.043870096,98.89,157.9,8.75424073
1600,1600,4,80,26,20,474,12,333,4.733727811,0.236686391,0.199995255,0.015707963,0.010602875,0.290594419,0.137802448,0.074669562,3.999999999,0.262559622,2.666666668,0.002317978,0.004635956,0.013109375,0.048039074,107.98,157.21,10.36228074
1600,1600,4,80,26,20,474,12,333,4.733727811,0.236686391,0.199995255,0.015707963,0.010602875,0.290594419,0.137802448,0.106051956,3.999999999,0.262559622,2.666666668,0.005490762,0.010981524,0.0228125,,104.99,157.48,
1600,1600,4,80,26,20,474,12,333,4.733727811,0.236686391,0.199995255,0.015707963,0.010602875,0.290594419,0.137802448,0.074669562,3.999999999,0.262559622,2.666666668,0.002104404,0.004208808,0.012154375,0.035121533,108.99,166,8.344770052
1650,1650,3,110,32,20,511,12,325,3.381147541,0.225409836,0.100022047,0.012462516,0.00747751,0.198840879,0.075878617,0.044937926,5.499999998,0.383372325,5.041666668,0.003162958,0.006325916,0.045033333,,325.73,374.96,
1650,1650,3,110,32,20,511,12,325,3.381147541,0.225409836,0.100022047,0.012462516,0.00747751,0.198840879,0.075878617,0.044937926,5.499999998,0.383372325,5.041666668,0.003102914,0.006205828,0.027122424,0.067935657,328.66,396.8,10.94707434
1650,1650,3,90,32,20,511,12,325,3.381147541,0.184426229,0.300996098,0.012462516,0.009139179,0.198840879,0.092740533,0.077912399,4.499999999,0.388628727,5.041666668,0.001995445,0.003990889,0.012441212,,301.51,552.78,
1650,1650,3,90,32,20,511,12,325,3.381147541,0.184426229,0.300058415,0.012462516,0.009139179,0.198221437,0.092451622,0.084816114,4.499999999,0.38903089,5.041666668,0.004400839,0.008801678,0.017115152,,537.97,537.97,
375,750,3,32,21,9,392,5,323,1.76970269,0.15101463,0.333277345,0.00680469,0.00890936,0.129640777,0.139576027,0.15376482,3.368421054,0.430492769,1.041666667,0.002001771,0.004003542,0.015477867,,118.78,158.91,
1219,2438,6,127,34,19,469,6,324,3.310344828,0.344827586,0.059436737,0.025310683,0.000831058,0.343884448,0.007804168,0.033885267,6.666666667,1.446303775,4.129024,0.004762329,0.009524658,0.014485417,0.018174147,462.02,601.84,1.908115354
